iter	Passed	Remaining
0	4	4211
1	8	4311
2	12	4132
3	16	4045
4	20	3988
5	24	4015
6	28	3994
7	32	3977
8	36	3967
9	40	3990
10	44	3986
11	48	3979
12	52	3975
13	56	4012
14	60	3997
15	65	3998
16	69	4002
17	73	4002
18	77	3983
19	81	3974
20	85	3991
21	89	3986
22	93	3992
23	98	4008
24	103	4025
25	107	4019
26	111	4016
27	115	4022
28	119	4013
29	123	4002
30	127	3998
31	132	3997
32	136	3986
33	140	3977
34	143	3969
35	147	3962
36	152	3956
37	156	3950
38	160	3946
39	164	3940
40	168	3945
41	172	3942
42	177	3950
43	181	3949
44	185	3942
45	190	3942
46	194	3936
47	198	3930
48	202	3925
49	206	3926
50	210	3924
51	214	3917
52	219	3916
53	223	3921
54	227	3912
55	231	3903
56	236	3904
57	239	3892
58	243	3891
59	247	3883
60	251	3877
61	255	3868
62	259	3861
63	263	3848
64	267	3842
65	271	3843
66	275	3837
67	279	3834
68	283	3828
69	287	3823
70	291	3819
71	296	3815
72	300	3812
73	304	3808
74	308	3810
75	313	3808
76	317	3806
77	321	3800
78	325	3794
79	329	3791
80	333	3785
81	336	3772
82	341	3772
83	345	3769
84	349	3762
85	353	3756
86	357	3755
87	361	3749
88	365	3743
89	369	3738
90	373	3734
91	378	3733
92	382	3733
93	386	3729
94	390	3724
95	395	3719
96	399	3716
97	403	3712
98	407	3708
99	411	3705
100	415	3702
101	420	3701
102	425	3701
103	429	3700
104	433	3698
105	438	3696
106	442	3692
107	446	3691
108	451	3691
109	455	3685
110	459	3679
111	463	3676
112	467	3671
113	471	3667
114	475	3662
115	480	3660
116	484	3658
117	488	3654
118	492	3649
119	497	3645
120	501	3640
121	505	3636
122	509	3634
123	513	3629
124	517	3624
125	521	3619
126	526	3615
127	530	3612
128	534	3607
129	538	3601
130	542	3599
131	546	3595
132	550	3591
133	555	3590
134	559	3587
135	563	3582
136	568	3578
137	572	3576
138	576	3573
139	580	3567
140	584	3562
141	588	3558
142	593	3554
143	597	3549
144	601	3549
145	605	3544
146	609	3539
147	613	3533
148	618	3531
149	622	3526
150	626	3523
151	631	3522
152	635	3520
153	640	3516
154	644	3512
155	648	3509
156	652	3505
157	656	3500
158	661	3498
159	665	3493
160	669	3488
161	673	3482
162	677	3478
163	681	3472
164	685	3467
165	689	3463
166	693	3460
167	698	3457
168	702	3452
169	706	3449
170	710	3444
171	714	3441
172	718	3436
173	723	3435
174	727	3430
175	731	3426
176	735	3421
177	739	3417
178	744	3413
179	748	3410
180	753	3407
181	757	3403
182	761	3400
183	766	3398
184	770	3395
185	774	3391
186	779	3387
187	783	3384
188	788	3381
189	791	3376
190	796	3372
191	800	3369
192	804	3365
193	809	3361
194	813	3358
195	817	3354
196	821	3349
197	826	3345
198	830	3344
199	835	3340
200	839	3337
201	844	3334
202	848	3330
203	852	3324
204	855	3319
205	860	3315
206	864	3310
207	868	3305
208	872	3301
209	876	3296
210	880	3292
211	884	3288
212	888	3284
213	893	3280
214	897	3276
215	901	3272
216	905	3268
217	910	3265
218	915	3263
219	920	3262
220	924	3259
221	929	3255
222	933	3253
223	937	3249
224	942	3246
225	947	3245
226	952	3242
227	956	3238
228	960	3234
229	965	3232
230	969	3227
231	973	3223
232	978	3219
233	982	3215
234	986	3211
235	991	3208
236	995	3206
237	1000	3202
238	1004	3199
239	1009	3197
240	1013	3193
241	1018	3189
242	1022	3185
243	1027	3182
244	1031	3178
245	1035	3174
246	1040	3170
247	1044	3166
248	1048	3162
249	1052	3158
250	1057	3154
251	1061	3151
252	1065	3146
253	1069	3142
254	1074	3138
255	1078	3133
256	1082	3128
257	1087	3127
258	1091	3123
259	1095	3119
260	1100	3115
261	1104	3111
262	1108	3107
263	1113	3102
264	1117	3099
265	1121	3095
266	1125	3090
267	1130	3087
268	1134	3082
269	1138	3078
270	1142	3073
271	1147	3070
272	1151	3066
273	1155	3062
274	1160	3060
275	1164	3055
276	1168	3050
277	1172	3045
278	1177	3043
279	1181	3038
280	1185	3033
281	1189	3029
282	1194	3025
283	1197	3020
284	1202	3015
285	1206	3011
286	1210	3006
287	1214	3001
288	1218	2998
289	1222	2993
290	1227	2989
291	1231	2985
292	1235	2981
293	1239	2976
294	1243	2972
295	1247	2967
296	1251	2962
297	1255	2958
298	1259	2953
299	1263	2948
300	1268	2946
301	1272	2941
302	1276	2936
303	1281	2933
304	1285	2928
305	1289	2924
306	1293	2919
307	1298	2916
308	1302	2913
309	1306	2909
310	1311	2906
311	1316	2903
312	1321	2900
313	1326	2897
314	1331	2895
315	1336	2893
316	1342	2891
317	1346	2888
318	1351	2885
319	1356	2882
320	1361	2879
321	1365	2875
322	1370	2872
323	1375	2869
324	1380	2866
325	1385	2863
326	1389	2860
327	1394	2856
328	1398	2852
329	1403	2849
330	1408	2846
331	1413	2843
332	1418	2840
333	1422	2837
334	1427	2834
335	1432	2831
336	1437	2829
337	1442	2826
338	1449	2826
339	1454	2824
340	1459	2820
341	1464	2816
342	1468	2812
343	1473	2809
344	1478	2806
345	1482	2803
346	1487	2798
347	1492	2795
348	1496	2791
349	1501	2787
350	1505	2783
351	1510	2779
352	1514	2775
353	1518	2770
354	1522	2766
355	1526	2761
356	1530	2756
